Taxon,Species,Trait,Value,Source
Birds,Accipiter gentilis,Tarsus.Length,67.3,AVONET
Birds,Accipiter gentilis,Wing.Length,337.6,AVONET
Birds,Accipiter gentilis,Kipps.Distance,122.6,AVONET
Birds,Accipiter gentilis,Secondary1,215.0,AVONET
Birds,Accipiter gentilis,Hand-Wing.Index,36.3,AVONET
Birds,Accipiter gentilis,Tail.Length,241.1,AVONET
Birds,Accipiter gentilis,Mass,866.0,AVONET
Birds,Accipiter gentilis,Migration,2,AVONET
Birds,Accipiter gentilis,Trophic.Level,Carnivore,AVONET
Birds,Accipiter gentilis,Trophic.Niche,Vertivore,AVONET
Birds,Accipiter gentilis,Primary.Lifestyle,Generalist,AVONET
Birds,Accipiter nisus,Beak.Length_Culmen,19.6,AVONET
Birds,Accipiter nisus,Beak.Length_Nares,11.4,AVONET
Birds,Accipiter nisus,Beak.Width,8.4,AVONET
Birds,Accipiter nisus,Beak.Depth,10.0,AVONET
Birds,Accipiter nisus,Tarsus.Length,53.6,AVONET
Birds,Accipiter nisus,Wing.Length,207.4,AVONET
Birds,Accipiter nisus,Kipps.Distance,74.2,AVONET
Birds,Accipiter nisus,Secondary1,134.3,AVONET
Birds,Accipiter nisus,Hand-Wing.Index,35.5,AVONET
Birds,Accipiter nisus,Tail.Length,155.5,AVONET
Birds,Accipiter nisus,Mass,220.8,AVONET
Birds,Accipiter nisus,Migration,2,AVONET
Birds,Accipiter nisus,Trophic.Level,Carnivore,AVONET
Birds,Accipiter nisus,Trophic.Niche,Vertivore,AVONET
Birds,Accipiter nisus,Primary.Lifestyle,Insessorial,AVONET
Birds,Aegithalos caudatus,Beak.Length_Culmen,7.6,AVONET
Birds,Aegithalos caudatus,Beak.Length_Nares,4.2,AVONET
Birds,Aegithalos caudatus,Beak.Width,2.5,AVONET
Birds,Aegithalos caudatus,Beak.Depth,3.3,AVONET
Birds,Aegithalos caudatus,Tarsus.Length,15.9,AVONET
Birds,Aegithalos caudatus,Wing.Length,63.1,AVONET
Birds,Aegithalos caudatus,Kipps.Distance,14.0,AVONET
Birds,Aegithalos caudatus,Secondary1,49.5,AVONET
Birds,Aegithalos caudatus,Hand-Wing.Index,22.0,AVONET
Birds,Aegithalos caudatus,Tail.Length,87.8,AVONET
Birds,Aegithalos caudatus,Mass,8.6,AVONET
Birds,Aegithalos caudatus,Migration,1,AVONET
Birds,Aegithalos caudatus,Trophic.Level,Carnivore,AVONET
Birds,Aegithalos caudatus,Trophic.Niche,Invertivore,AVONET
Birds,Aegithalos caudatus,Primary.Lifestyle,Insessorial,AVONET
Birds,Aegolius funereus,Beak.Length_Culmen,18.2,AVONET
Birds,Aegolius funereus,Beak.Length_Nares,11.0,AVONET
Birds,Aegolius funereus,Beak.Width,7.9,AVONET
Birds,Aegolius funereus,Beak.Depth,10.5,AVONET
Birds,Aegolius funereus,Tarsus.Length,23.4,AVONET
Birds,Aegolius funereus,Wing.Length,169.1,AVONET
Birds,Aegolius funereus,Kipps.Distance,53.2,AVONET
Birds,Aegolius funereus,Secondary1,115.9,AVONET
Birds,Aegolius funereus,Hand-Wing.Index,31.5,AVONET
Birds,Aegolius funereus,Tail.Length,102.5,AVONET
Birds,Aegolius funereus,Mass,137.2,AVONET
Birds,Aegolius funereus,Migration,2,AVONET
Birds,Aegolius funereus,Trophic.Level,Carnivore,AVONET
Birds,Aegolius funereus,Trophic.Niche,Vertivore,AVONET
Birds,Aegolius funereus,Primary.Lifestyle,Insessorial,AVONET
Birds,Aegypius monachus,Beak.Length_Culmen,87.8,AVONET
Birds,Aegypius monachus,Beak.Length_Nares,59.9,AVONET
Birds,Aegypius monachus,Beak.Width,27.9,AVONET
Birds,Aegypius monachus,Beak.Depth,39.8,AVONET
Birds,Aegypius monachus,Tarsus.Length,134.2,AVONET
Birds,Aegypius monachus,Wing.Length,734.2,AVONET
Birds,Aegypius monachus,Kipps.Distance,302.2,AVONET
Birds,Aegypius monachus,Secondary1,432.0,AVONET
Birds,Aegypius monachus,Hand-Wing.Index,41.1,AVONET
Birds,Aegypius monachus,Tail.Length,371.0,AVONET
Birds,Aegypius monachus,Mass,9320.6,AVONET
Birds,Aegypius monachus,Migration,1,AVONET
Birds,Aegypius monachus,Trophic.Level,Scavenger,AVONET
Birds,Aegypius monachus,Trophic.Niche,Scavenger,AVONET
Birds,Aegypius monachus,Primary.Lifestyle,Terrestrial,AVONET
Birds,Alectoris barbara,Beak.Length_Culmen,22.6,AVONET
Birds,Alectoris barbara,Beak.Length_Nares,14.2,AVONET
Birds,Alectoris barbara,Beak.Width,8.4,AVONET
Birds,Alectoris barbara,Beak.Depth,9.5,AVONET
Birds,Alectoris barbara,Tarsus.Length,41.4,AVONET
Birds,Alectoris barbara,Wing.Length,163.0,AVONET
Birds,Alectoris barbara,Kipps.Distance,45.8,AVONET
Birds,Alectoris barbara,Secondary1,115.2,AVONET
Birds,Alectoris barbara,Hand-Wing.Index,28.5,AVONET
Birds,Alectoris barbara,Tail.Length,97.2,AVONET
Birds,Alectoris barbara,Mass,416.3,AVONET
Birds,Alectoris barbara,Migration,1,AVONET
Birds,Alectoris barbara,Trophic.Level,Herbivore,AVONET
Birds,Alectoris barbara,Trophic.Niche,Omnivore,AVONET
Birds,Alectoris barbara,Primary.Lifestyle,Terrestrial,AVONET
Birds,Alectoris graeca,Beak.Length_Culmen,20.8,AVONET
Birds,Alectoris graeca,Beak.Length_Nares,12.8,AVONET
Birds,Alectoris graeca,Beak.Width,8.3,AVONET
Birds,Alectoris graeca,Beak.Depth,8.7,AVONET
Birds,Alectoris graeca,Tarsus.Length,40.2,AVONET
Birds,Alectoris graeca,Wing.Length,155.7,AVONET
Birds,Alectoris graeca,Kipps.Distance,58.3,AVONET
Birds,Alectoris graeca,Secondary1,97.9,AVONET
Birds,Alectoris graeca,Hand-Wing.Index,36.9,AVONET
Birds,Alectoris graeca,Tail.Length,82.3,AVONET
Birds,Alectoris graeca,Mass,594.1,AVONET
Birds,Alectoris graeca,Migration,1,AVONET
Birds,Alectoris graeca,Trophic.Level,Herbivore,AVONET
Birds,Alectoris graeca,Trophic.Niche,Herbivore terrestrial,AVONET
Birds,Alectoris graeca,Primary.Lifestyle,Terrestrial,AVONET
Birds,Anas platyrhynchos,Beak.Length_Culmen,58.5,AVONET
Birds,Anas platyrhynchos,Beak.Length_Nares,41.0,AVONET
Birds,Anas platyrhynchos,Beak.Width,20.8,AVONET
Birds,Anas platyrhynchos,Beak.Depth,17.8,AVONET
Birds,Anas platyrhynchos,Tarsus.Length,40.6,AVONET
Birds,Anas platyrhynchos,Wing.Length,263.4,AVONET
Birds,Anas platyrhynchos,Kipps.Distance,133.5,AVONET
Birds,Anas platyrhynchos,Secondary1,129.9,AVONET
Birds,Anas platyrhynchos,Hand-Wing.Index,50.7,AVONET
Birds,Anas platyrhynchos,Tail.Length,86.9,AVONET
Birds,Anas platyrhynchos,Mass,843.4,AVONET
Birds,Anas platyrhynchos,Migration,2,AVONET
Birds,Anas platyrhynchos,Trophic.Level,Herbivore,AVONET
Birds,Anas platyrhynchos,Trophic.Niche,Herbivore aquatic,AVONET
Birds,Anas platyrhynchos,Primary.Lifestyle,Aquatic,AVONET
Birds,Anthus trivialis,Beak.Length_Culmen,15.7,AVONET
Birds,Anthus trivialis,Beak.Length_Nares,8.0,AVONET
Birds,Anthus trivialis,Beak.Width,3.3,AVONET
Birds,Anthus trivialis,Beak.Depth,3.8,AVONET
Birds,Anthus trivialis,Tarsus.Length,20.6,AVONET
Birds,Anthus trivialis,Wing.Length,86.1,AVONET
Birds,Anthus trivialis,Kipps.Distance,25.2,AVONET
Birds,Anthus trivialis,Secondary1,60.7,AVONET
Birds,Anthus trivialis,Hand-Wing.Index,29.3,AVONET
Birds,Anthus trivialis,Tail.Length,59.9,AVONET
Birds,Anthus trivialis,Mass,23.3,AVONET
Birds,Anthus trivialis,Migration,3,AVONET
Birds,Anthus trivialis,Trophic.Level,Omnivore,AVONET
Birds,Anthus trivialis,Trophic.Niche,Invertivore,AVONET
Birds,Anthus trivialis,Primary.Lifestyle,Terrestrial,AVONET
Birds,Aquila adalberti,Beak.Length_Culmen,61.2,AVONET
Birds,Aquila adalberti,Beak.Length_Nares,39.8,AVONET
Birds,Aquila adalberti,Beak.Width,21.1,AVONET
Birds,Aquila adalberti,Beak.Depth,31.0,AVONET
Birds,Aquila adalberti,Tarsus.Length,98.4,AVONET
Birds,Aquila adalberti,Wing.Length,592.5,AVONET
Birds,Aquila adalberti,Kipps.Distance,235.0,AVONET
Birds,Aquila adalberti,Secondary1,357.5,AVONET
Birds,Aquila adalberti,Hand-Wing.Index,39.7,AVONET
Birds,Aquila adalberti,Tail.Length,297.0,AVONET
Birds,Aquila adalberti,Mass,2958.0,AVONET
Birds,Aquila adalberti,Migration,2,AVONET
Birds,Aquila adalberti,Trophic.Level,Carnivore,AVONET
Birds,Aquila adalberti,Trophic.Niche,Vertivore,AVONET
Birds,Aquila adalberti,Primary.Lifestyle,Generalist,AVONET
Birds,Aquila chrysaetos,Beak.Length_Culmen,56.8,AVONET
Birds,Aquila chrysaetos,Beak.Length_Nares,37.0,AVONET
Birds,Aquila chrysaetos,Beak.Width,18.5,AVONET
Birds,Aquila chrysaetos,Beak.Depth,28.4,AVONET
Birds,Aquila chrysaetos,Tarsus.Length,101.4,AVONET
Birds,Aquila chrysaetos,Wing.Length,603.1,AVONET
Birds,Aquila chrysaetos,Kipps.Distance,221.2,AVONET
Birds,Aquila chrysaetos,Secondary1,381.9,AVONET
Birds,Aquila chrysaetos,Hand-Wing.Index,36.7,AVONET
Birds,Aquila chrysaetos,Tail.Length,307.1,AVONET
Birds,Aquila chrysaetos,Mass,4248.0,AVONET
Birds,Aquila chrysaetos,Migration,2,AVONET
Birds,Aquila chrysaetos,Trophic.Level,Carnivore,AVONET
Birds,Aquila chrysaetos,Trophic.Niche,Vertivore,AVONET
Birds,Aquila chrysaetos,Primary.Lifestyle,Aerial,AVONET
Birds,Aquila heliaca,Beak.Length_Culmen,59.0,AVONET
Birds,Aquila heliaca,Beak.Length_Nares,37.5,AVONET
Birds,Aquila heliaca,Beak.Width,19.8,AVONET
Birds,Aquila heliaca,Beak.Depth,28.4,AVONET
Birds,Aquila heliaca,Tarsus.Length,93.7,AVONET
Birds,Aquila heliaca,Wing.Length,582.2,AVONET
Birds,Aquila heliaca,Kipps.Distance,230.8,AVONET
Birds,Aquila heliaca,Secondary1,354.0,AVONET
Birds,Aquila heliaca,Hand-Wing.Index,39.5,AVONET
Birds,Aquila heliaca,Tail.Length,316.2,AVONET
Birds,Aquila heliaca,Mass,3125.2,AVONET
Birds,Aquila heliaca,Migration,3,AVONET
Birds,Aquila heliaca,Trophic.Level,Carnivore,AVONET
Birds,Aquila heliaca,Trophic.Niche,Vertivore,AVONET
Birds,Aquila heliaca,Primary.Lifestyle,Generalist,AVONET
Birds,Ardea alba,Beak.Length_Culmen,126.3,AVONET
Birds,Ardea alba,Beak.Length_Nares,90.4,AVONET
Birds,Ardea alba,Beak.Width,12.0,AVONET
Birds,Ardea alba,Beak.Depth,18.1,AVONET
Birds,Ardea alba,Tarsus.Length,141.6,AVONET
Birds,Ardea alba,Wing.Length,378.8,AVONET
Birds,Ardea alba,Kipps.Distance,120.7,AVONET
Birds,Ardea alba,Secondary1,257.2,AVONET
Birds,Ardea alba,Hand-Wing.Index,32.1,AVONET
Birds,Ardea alba,Tail.Length,140.5,AVONET
Birds,Ardea alba,Mass,871.3,AVONET
Birds,Ardea alba,Migration,2,AVONET
Birds,Ardea alba,Trophic.Level,Carnivore,AVONET
Birds,Ardea alba,Trophic.Niche,Aquatic predator,AVONET
Birds,Ardea alba,Primary.Lifestyle,Terrestrial,AVONET
Birds,Ardea cinerea,Beak.Length_Culmen,138.9,AVONET
Birds,Ardea cinerea,Beak.Length_Nares,95.5,AVONET
Birds,Ardea cinerea,Beak.Width,18.7,AVONET
Birds,Ardea cinerea,Beak.Depth,25.4,AVONET
Birds,Ardea cinerea,Tarsus.Length,137.9,AVONET
Birds,Ardea cinerea,Wing.Length,441.0,AVONET
Birds,Ardea cinerea,Kipps.Distance,152.7,AVONET
Birds,Ardea cinerea,Secondary1,287.9,AVONET
Birds,Ardea cinerea,Hand-Wing.Index,34.6,AVONET
Birds,Ardea cinerea,Tail.Length,169.1,AVONET
Birds,Ardea cinerea,Mass,1443.0,AVONET
Birds,Ardea cinerea,Migration,1,AVONET
Birds,Ardea cinerea,Trophic.Level,Carnivore,AVONET
Birds,Ardea cinerea,Trophic.Niche,Aquatic predator,AVONET
Birds,Ardea cinerea,Primary.Lifestyle,Terrestrial,AVONET
Birds,Ardea purpurea,Beak.Length_Culmen,125.9,AVONET
Birds,Ardea purpurea,Beak.Length_Nares,102.5,AVONET
Birds,Ardea purpurea,Beak.Width,13.6,AVONET
Birds,Ardea purpurea,Beak.Depth,19.6,AVONET
Birds,Ardea purpurea,Tarsus.Length,117.5,AVONET
Birds,Ardea purpurea,Wing.Length,349.7,AVONET
Birds,Ardea purpurea,Kipps.Distance,118.2,AVONET
Birds,Ardea purpurea,Secondary1,230.8,AVONET
Birds,Ardea purpurea,Hand-Wing.Index,33.9,AVONET
Birds,Ardea purpurea,Tail.Length,113.2,AVONET
Birds,Ardea purpurea,Mass,1064.5,AVONET
Birds,Ardea purpurea,Migration,3,AVONET
Birds,Ardea purpurea,Trophic.Level,Carnivore,AVONET
Birds,Ardea purpurea,Trophic.Niche,Aquatic predator,AVONET
Birds,Ardea purpurea,Primary.Lifestyle,Terrestrial,AVONET
Birds,Ardeola ralloides,Beak.Length_Culmen,72.8,AVONET
Birds,Ardeola ralloides,Beak.Length_Nares,51.5,AVONET
Birds,Ardeola ralloides,Beak.Width,9.1,AVONET
Birds,Ardeola ralloides,Beak.Depth,11.8,AVONET
Birds,Ardeola ralloides,Tarsus.Length,59.4,AVONET
Birds,Ardeola ralloides,Wing.Length,213.1,AVONET
Birds,Ardeola ralloides,Kipps.Distance,68.2,AVONET
Birds,Ardeola ralloides,Secondary1,142.6,AVONET
Birds,Ardeola ralloides,Hand-Wing.Index,32.4,AVONET
Birds,Ardeola ralloides,Tail.Length,75.8,AVONET
Birds,Ardeola ralloides,Mass,287.0,AVONET
Birds,Ardeola ralloides,Migration,3,AVONET
Birds,Ardeola ralloides,Trophic.Level,Carnivore,AVONET
Birds,Ardeola ralloides,Trophic.Niche,Aquatic predator,AVONET
Birds,Ardeola ralloides,Primary.Lifestyle,Terrestrial,AVONET
Birds,Asio otus,Beak.Length_Culmen,28.3,AVONET
Birds,Asio otus,Beak.Length_Nares,14.9,AVONET
Birds,Asio otus,Beak.Width,8.8,AVONET
Birds,Asio otus,Beak.Depth,12.5,AVONET
Birds,Asio otus,Tarsus.Length,40.1,AVONET
Birds,Asio otus,Wing.Length,280.7,AVONET
Birds,Asio otus,Kipps.Distance,115.5,AVONET
Birds,Asio otus,Secondary1,165.2,AVONET
Birds,Asio otus,Hand-Wing.Index,41.2,AVONET
Birds,Asio otus,Tail.Length,137.0,AVONET
Birds,Asio otus,Mass,296.6,AVONET
Birds,Asio otus,Migration,2,AVONET
Birds,Asio otus,Trophic.Level,Carnivore,AVONET
Birds,Asio otus,Trophic.Niche,Vertivore,AVONET
Birds,Asio otus,Primary.Lifestyle,Aerial,AVONET
Birds,Bonasa bonasia,Beak.Length_Culmen,21.7,AVONET
Birds,Bonasa bonasia,Beak.Length_Nares,11.2,AVONET
Birds,Bonasa bonasia,Beak.Width,9.0,AVONET
Birds,Bonasa bonasia,Beak.Depth,9.1,AVONET
Birds,Bonasa bonasia,Tarsus.Length,35.1,AVONET
Birds,Bonasa bonasia,Wing.Length,169.4,AVONET
Birds,Bonasa bonasia,Kipps.Distance,55.8,AVONET
Birds,Bonasa bonasia,Secondary1,113.7,AVONET
Birds,Bonasa bonasia,Hand-Wing.Index,33.0,AVONET
Birds,Bonasa bonasia,Tail.Length,117.8,AVONET
Birds,Bonasa bonasia,Mass,429.0,AVONET
Birds,Bonasa bonasia,Migration,1,AVONET
Birds,Bonasa bonasia,Trophic.Level,Herbivore,AVONET
Birds,Bonasa bonasia,Trophic.Niche,Herbivore terrestrial,AVONET
Birds,Bonasa bonasia,Primary.Lifestyle,Generalist,AVONET
Birds,Bubulcus ibis,Beak.Length_Culmen,63.3,AVONET
Birds,Bubulcus ibis,Beak.Length_Nares,43.5,AVONET
Birds,Bubulcus ibis,Beak.Width,8.6,AVONET
Birds,Bubulcus ibis,Beak.Depth,11.5,AVONET
Birds,Bubulcus ibis,Tarsus.Length,76.8,AVONET
Birds,Bubulcus ibis,Wing.Length,244.4,AVONET
Birds,Bubulcus ibis,Kipps.Distance,73.0,AVONET
Birds,Bubulcus ibis,Secondary1,171.2,AVONET
Birds,Bubulcus ibis,Hand-Wing.Index,29.9,AVONET
Birds,Bubulcus ibis,Tail.Length,90.9,AVONET
Birds,Bubulcus ibis,Mass,366.0,AVONET
Birds,Bubulcus ibis,Migration,2,AVONET
Birds,Bubulcus ibis,Trophic.Level,Carnivore,AVONET
Birds,Bubulcus ibis,Trophic.Niche,Omnivore,AVONET
Birds,Bubulcus ibis,Primary.Lifestyle,Terrestrial,AVONET
Birds,Buteo buteo,Beak.Length_Culmen,35.9,AVONET
Birds,Buteo buteo,Beak.Length_Nares,22.1,AVONET
Birds,Buteo buteo,Beak.Width,12.6,AVONET
Birds,Buteo buteo,Beak.Depth,16.6,AVONET
Birds,Buteo buteo,Tarsus.Length,75.8,AVONET
Birds,Buteo buteo,Wing.Length,382.9,AVONET
Birds,Buteo buteo,Kipps.Distance,147.2,AVONET
Birds,Buteo buteo,Secondary1,236.9,AVONET
Birds,Buteo buteo,Hand-Wing.Index,38.3,AVONET
Birds,Buteo buteo,Tail.Length,214.4,AVONET
Birds,Buteo buteo,Mass,759.1,AVONET
Birds,Buteo buteo,Migration,2,AVONET
Birds,Buteo buteo,Trophic.Level,Carnivore,AVONET
Birds,Buteo buteo,Trophic.Niche,Vertivore,AVONET
Birds,Buteo buteo,Primary.Lifestyle,Insessorial,AVONET
Birds,Caprimulgus europaeus,Beak.Length_Culmen,20.2,AVONET
Birds,Caprimulgus europaeus,Beak.Length_Nares,7.3,AVONET
Birds,Caprimulgus europaeus,Beak.Width,4.5,AVONET
Birds,Caprimulgus europaeus,Beak.Depth,3.1,AVONET
Birds,Caprimulgus europaeus,Tarsus.Length,17.3,AVONET
Birds,Caprimulgus europaeus,Wing.Length,183.2,AVONET
Birds,Caprimulgus europaeus,Kipps.Distance,103.3,AVONET
Birds,Caprimulgus europaeus,Secondary1,90.2,AVONET
Birds,Caprimulgus europaeus,Hand-Wing.Index,53.4,AVONET
Birds,Caprimulgus europaeus,Tail.Length,130.6,AVONET
Birds,Caprimulgus europaeus,Mass,67.0,AVONET
Birds,Caprimulgus europaeus,Migration,3,AVONET
Birds,Caprimulgus europaeus,Trophic.Level,Carnivore,AVONET
Birds,Caprimulgus europaeus,Trophic.Niche,Invertivore,AVONET
Birds,Caprimulgus europaeus,Primary.Lifestyle,Aerial,AVONET
Birds,Caprimulgus ruficollis,Beak.Length_Culmen,23.7,AVONET
Birds,Caprimulgus ruficollis,Beak.Length_Nares,7.4,AVONET
Birds,Caprimulgus ruficollis,Beak.Width,5.0,AVONET
Birds,Caprimulgus ruficollis,Beak.Depth,3.0,AVONET
Birds,Caprimulgus ruficollis,Tarsus.Length,20.4,AVONET
Birds,Caprimulgus ruficollis,Wing.Length,198.2,AVONET
Birds,Caprimulgus ruficollis,Kipps.Distance,107.0,AVONET
Birds,Caprimulgus ruficollis,Secondary1,91.3,AVONET
Birds,Caprimulgus ruficollis,Hand-Wing.Index,54.0,AVONET
Birds,Caprimulgus ruficollis,Tail.Length,147.8,AVONET
Birds,Caprimulgus ruficollis,Mass,68.5,AVONET
Birds,Caprimulgus ruficollis,Migration,3,AVONET
Birds,Caprimulgus ruficollis,Trophic.Level,Carnivore,AVONET
Birds,Caprimulgus ruficollis,Trophic.Niche,Invertivore,AVONET
Birds,Caprimulgus ruficollis,Primary.Lifestyle,Aerial,AVONET
Birds,Carduelis carduelis,Beak.Length_Culmen,15.4,AVONET
Birds,Carduelis carduelis,Beak.Length_Nares,11.2,AVONET
Birds,Carduelis carduelis,Beak.Width,5.5,AVONET
Birds,Carduelis carduelis,Beak.Depth,7.2,AVONET
Birds,Carduelis carduelis,Tarsus.Length,14.7,AVONET
Birds,Carduelis carduelis,Wing.Length,77.4,AVONET
Birds,Carduelis carduelis,Kipps.Distance,25.8,AVONET
Birds,Carduelis carduelis,Secondary1,51.6,AVONET
Birds,Carduelis carduelis,Hand-Wing.Index,33.4,AVONET
Birds,Carduelis carduelis,Tail.Length,48.6,AVONET
Birds,Carduelis carduelis,Mass,16.0,AVONET
Birds,Carduelis carduelis,Migration,1,AVONET
Birds,Carduelis carduelis,Trophic.Level,Herbivore,AVONET
Birds,Carduelis carduelis,Trophic.Niche,Granivore,AVONET
Birds,Carduelis carduelis,Primary.Lifestyle,Insessorial,AVONET
Birds,Carduelis citrinella,Beak.Length_Culmen,10.8,AVONET
Birds,Carduelis citrinella,Beak.Length_Nares,7.2,AVONET
Birds,Carduelis citrinella,Beak.Width,4.5,AVONET
Birds,Carduelis citrinella,Beak.Depth,5.4,AVONET
Birds,Carduelis citrinella,Tarsus.Length,14.7,AVONET
Birds,Carduelis citrinella,Wing.Length,77.4,AVONET
Birds,Carduelis citrinella,Kipps.Distance,23.5,AVONET
Birds,Carduelis citrinella,Secondary1,54.0,AVONET
Birds,Carduelis citrinella,Hand-Wing.Index,30.3,AVONET
Birds,Carduelis citrinella,Tail.Length,53.3,AVONET
Birds,Carduelis citrinella,Mass,12.0,AVONET
Birds,Carduelis citrinella,Migration,1,AVONET
Birds,Carduelis citrinella,Trophic.Level,Herbivore,AVONET
Birds,Carduelis citrinella,Trophic.Niche,Granivore,AVONET
Birds,Carduelis citrinella,Primary.Lifestyle,Generalist,AVONET
Birds,Carduelis corsicana,Beak.Length_Culmen,10.6,AVONET
Birds,Carduelis corsicana,Beak.Length_Nares,7.4,AVONET
Birds,Carduelis corsicana,Beak.Width,4.2,AVONET
Birds,Carduelis corsicana,Beak.Depth,5.3,AVONET
Birds,Carduelis corsicana,Tarsus.Length,14.5,AVONET
Birds,Carduelis corsicana,Wing.Length,72.1,AVONET
Birds,Carduelis corsicana,Kipps.Distance,21.2,AVONET
Birds,Carduelis corsicana,Secondary1,51.0,AVONET
Birds,Carduelis corsicana,Hand-Wing.Index,29.4,AVONET
Birds,Carduelis corsicana,Tail.Length,51.0,AVONET
Birds,Carduelis corsicana,Mass,12.0,AVONET
Birds,Carduelis corsicana,Migration,1,AVONET
Birds,Carduelis corsicana,Trophic.Level,Herbivore,AVONET
Birds,Carduelis corsicana,Trophic.Niche,Granivore,AVONET
Birds,Carduelis corsicana,Primary.Lifestyle,Generalist,AVONET
Birds,Carpodacus erythrinus,Beak.Length_Culmen,12.0,AVONET
Birds,Carpodacus erythrinus,Beak.Length_Nares,8.0,AVONET
Birds,Carpodacus erythrinus,Beak.Width,6.8,AVONET
Birds,Carpodacus erythrinus,Beak.Depth,7.9,AVONET
Birds,Carpodacus erythrinus,Tarsus.Length,16.4,AVONET
Birds,Carpodacus erythrinus,Wing.Length,80.2,AVONET
Birds,Carpodacus erythrinus,Kipps.Distance,24.7,AVONET
Birds,Carpodacus erythrinus,Secondary1,55.8,AVONET
Birds,Carpodacus erythrinus,Hand-Wing.Index,30.8,AVONET
Birds,Carpodacus erythrinus,Tail.Length,58.6,AVONET
Birds,Carpodacus erythrinus,Mass,24.0,AVONET
Birds,Carpodacus erythrinus,Migration,3,AVONET
Birds,Carpodacus erythrinus,Trophic.Level,Herbivore,AVONET
Birds,Carpodacus erythrinus,Trophic.Niche,Granivore,AVONET
Birds,Carpodacus erythrinus,Primary.Lifestyle,Insessorial,AVONET
Birds,Certhia brachydactyla,Beak.Length_Culmen,18.7,AVONET
Birds,Certhia brachydactyla,Beak.Length_Nares,11.1,AVONET
Birds,Certhia brachydactyla,Beak.Width,2.0,AVONET
Birds,Certhia brachydactyla,Beak.Depth,2.5,AVONET
Birds,Certhia brachydactyla,Tarsus.Length,14.9,AVONET
Birds,Certhia brachydactyla,Wing.Length,62.1,AVONET
Birds,Certhia brachydactyla,Kipps.Distance,11.0,AVONET
Birds,Certhia brachydactyla,Secondary1,51.2,AVONET
Birds,Certhia brachydactyla,Hand-Wing.Index,17.7,AVONET
Birds,Certhia brachydactyla,Tail.Length,57.1,AVONET
Birds,Certhia brachydactyla,Mass,8.2,AVONET
Birds,Certhia brachydactyla,Migration,1,AVONET
Birds,Certhia brachydactyla,Trophic.Level,Carnivore,AVONET
Birds,Certhia brachydactyla,Trophic.Niche,Invertivore,AVONET
Birds,Certhia brachydactyla,Primary.Lifestyle,Insessorial,AVONET
Birds,Certhia familiaris,Beak.Length_Culmen,18.1,AVONET
Birds,Certhia familiaris,Beak.Length_Nares,12.2,AVONET
Birds,Certhia familiaris,Beak.Width,2.0,AVONET
Birds,Certhia familiaris,Beak.Depth,2.6,AVONET
Birds,Certhia familiaris,Tarsus.Length,14.6,AVONET
Birds,Certhia familiaris,Wing.Length,64.5,AVONET
Birds,Certhia familiaris,Kipps.Distance,12.4,AVONET
Birds,Certhia familiaris,Secondary1,52.2,AVONET
Birds,Certhia familiaris,Hand-Wing.Index,19.2,AVONET
Birds,Certhia familiaris,Tail.Length,60.3,AVONET
Birds,Certhia familiaris,Mass,9.0,AVONET
Birds,Certhia familiaris,Migration,1,AVONET
Birds,Certhia familiaris,Trophic.Level,Omnivore,AVONET
